Time,AAAA,BBBB,BBAA,ABAA,ABBA,AABA,BBAB,Other,Total
0.0,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0
0.4,1,0,0,0,0,0,0,0,1
0.6,4,0,0,0,0,0,0,0,4
0.8,5,0,0,0,0,0,0,0,5
1.0,6,0,0,0,0,0,0,0,6
1.2,9,0,0,0,0,0,0,0,9
1.4,9,0,0,0,0,0,0,0,9
1.6,10,0,0,0,0,0,0,0,10
1.8,13,0,0,0,0,0,0,0,13
2.0,14,0,0,0,0,0,0,0,14
2.2,18,0,0,0,0,0,0,0,18
2.4,19,0,0,0,0,0,0,0,19
2.6,22,0,0,0,0,0,0,0,22
2.8,27,0,0,0,0,0,0,0,27
3.0,30,0,0,0,0,0,0,0,30
3.2,37,0,0,0,0,0,0,0,37
3.4,40,0,0,0,0,0,0,0,40
3.6,44,0,0,0,0,0,0,0,44
3.8,54,0,0,0,0,0,0,0,54
4.0,58,0,0,0,0,0,0,0,58
4.2,66,0,0,0,0,0,0,0,66
4.4,72,0,0,0,0,0,0,0,72
4.6,81,0,0,0,0,0,0,0,81
4.8,86,0,0,0,0,0,0,0,86
5.0,90,0,0,0,0,0,0,0,90
5.2,96,0,0,0,0,0,0,0,96
5.4,101,0,0,0,0,0,0,0,101
5.6,108,0,0,0,0,0,0,0,108
5.8,110,0,0,0,0,0,0,0,110
6.0,113,0,0,0,0,0,0,0,113
6.2,118,0,0,0,0,0,0,0,118
6.4,123,0,0,0,0,0,0,0,123
6.6,125,0,0,0,0,0,0,0,125
6.8,130,0,0,0,0,0,0,0,130
